as_of_date,store_id,product_id,horizon,window_days,error_std,valid_error_count,std_source,model_version,calculated_at
2024-01-15,S001,P0002,3,90,29.53919988926017,19,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-16,S001,P0002,3,90,31.054675172724696,20,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-17,S001,P0002,3,90,32.081615819508016,21,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-18,S001,P0002,3,90,32.44758797724185,22,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-19,S001,P0002,3,90,31.797759787286612,23,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-20,S001,P0002,3,90,32.014091295261956,24,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-21,S001,P0002,3,90,31.503069232868757,25,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-22,S001,P0002,3,90,31.420697793019528,26,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-23,S001,P0002,3,90,30.84318961680575,27,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-24,S001,P0002,3,90,31.040525420206798,28,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-25,S001,P0002,3,90,30.79550621620761,29,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-26,S001,P0002,3,90,30.26953688121262,30,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-27,S001,P0002,3,90,31.37301939905779,31,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2023-12-28,S001,P0003,3,90,1.0,1,fallback_1,ensemble_v2,2026-07-13T07:06:13.058276
2023-12-29,S001,P0003,3,90,29.783324415311608,2,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2023-12-30,S001,P0003,3,90,70.78438545410734,3,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2023-12-31,S001,P0003,3,90,74.92477883820953,4,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-01,S001,P0003,3,90,72.03330856988693,5,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-02,S001,P0003,3,90,66.04987982422038,6,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-03,S001,P0003,3,90,61.123273030316135,7,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-04,S001,P0003,3,90,65.21973903858185,8,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-05,S001,P0003,3,90,61.20672928202499,9,calculated,ensemble_v2,2026-07-13T07:06:13.058276
